Date,Close/Last,Volume,Open,High,Low
09/09/2024,$216.27,67443520,$216.20,$219.87,$213.67
09/06/2024,$210.73,112177000,$232.60,$233.60,$210.51
09/05/2024,$230.17,119355000,$223.49,$235.00,$222.25
09/04/2024,$219.41,80651770,$210.59,$222.22,$210.57
09/03/2024,$210.60,76714220,$215.26,$219.9043,$209.64
08/30/2024,$214.11,63370610,$208.63,$214.5701,$207.03
08/29/2024,$206.28,62308820,$209.80,$214.89,$205.97
08/28/2024,$205.75,64116350,$209.72,$211.84,$202.59
08/27/2024,$209.21,62821390,$213.25,$215.66,$206.94
08/26/2024,$213.21,59301190,$218.75,$219.09,$211.01
08/23/2024,$220.32,81525210,$214.455,$221.48,$214.21
08/22/2024,$210.66,79514480,$223.82,$224.80,$210.32
08/21/2024,$223.27,70145960,$222.67,$224.6594,$218.86
08/20/2024,$221.10,74001180,$224.88,$228.22,$219.56
08/19/2024,$222.72,76435220,$217.07,$222.98,$214.09
08/16/2024,$216.12,88765120,$211.15,$219.80,$210.80
08/15/2024,$214.14,89848530,$205.02,$215.88,$204.82
08/14/2024,$201.38,70250010,$207.39,$208.44,$198.75
08/13/2024,$207.83,76247390,$198.47,$208.49,$197.06
08/12/2024,$197.49,64044900,$199.02,$199.26,$194.67
